action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,0.0,0.0,0.0,6.0,6.0,single:10:left,10:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,1
1,cut,low_clearance,0.0,6.0,0.0,14.0,8.0,single:9:left,9:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,1,2
2,cut,low_clearance,0.0,14.0,0.0,20.0,6.0,single:11:left,11:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,3
3,cut,low_clearance,0.0,20.0,11.0,20.0,11.0,single:11:top,11:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,3,4
4,cut,low_clearance,11.0,20.0,11.0,19.0,1.0,shared_edge:11:right|18:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,6
5,cut,low_clearance,11.0,19.0,11.0,18.0,1.0,shared_edge:11:right|16:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,6,7
6,cut,low_clearance,11.0,18.0,18.0,18.0,7.0,shared_edge:16:bottom|8:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,7,9
7,travel,low_clearance,18.0,18.0,19.0,18.0,1.0,shared_edge:2:left|8:right,,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0,,,9,9
8,cut,low_clearance,19.0,18.0,19.0,14.0,4.0,shared_edge:2:left|8:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,9,11
9,cut,low_clearance,19.0,14.0,19.0,7.0,7.0,shared_edge:17:left|8:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,11,12
10,cut,low_clearance,19.0,7.0,11.0,7.0,8.0,shared_edge:12:top|8:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,12,14
11,cut,low_clearance,11.0,7.0,11.0,6.0,1.0,shared_edge:12:left|9:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,14,16
12,cut,low_clearance,11.0,6.0,11.0,0.0,6.0,shared_edge:10:right|12:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,16,17
13,cut,low_clearance,11.0,0.0,0.0,0.0,11.0,single:10:bottom,10:bottom,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,17,18
14,travel,low_clearance,0.0,0.0,0.0,14.0,14.0,shared_edge:11:bottom|9:top,,0.0,0.0,0.0,0,0.0,0,0.0,14.0,0.0,0,0,0,0,,,18,18
15,cut,low_clearance,0.0,14.0,11.0,14.0,11.0,shared_edge:11:bottom|9:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,,,18,20
16,cut,low_clearance,11.0,14.0,11.0,18.0,4.0,shared_edge:11:right|8:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,2,0,0,,,20,21
17,travel,low_clearance,11.0,18.0,18.0,18.0,7.0,single:16:right,,0.0,0.0,0.0,0,0.0,0,0.0,7.0,0.0,2,2,0,0,,,21,21
18,cut,low_clearance,18.0,18.0,18.0,19.0,1.0,single:16:right,16:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,21,22
19,cut,low_clearance,18.0,19.0,18.0,20.0,1.0,single:18:right,18:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,22,23
20,cut,low_clearance,18.0,20.0,11.0,20.0,7.0,single:18:top,18:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,23,24
