action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,0.0,0.0,0.0,6.0,6.0,single:10:left,10:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,1
1,cut,low_clearance,0.0,6.0,0.0,14.0,8.0,single:9:left,9:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,1,2
2,cut,low_clearance,0.0,14.0,0.0,20.0,6.0,single:11:left,11:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,3
3,cut,low_clearance,0.0,20.0,11.0,20.0,11.0,single:11:top,11:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,3,4
4,cut,low_clearance,11.0,20.0,18.0,20.0,7.0,single:18:top,18:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,5
5,cut,low_clearance,18.0,20.0,18.0,19.0,1.0,single:18:right,18:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,5,6
6,cut,low_clearance,18.0,19.0,11.0,19.0,7.0,single:16:top,16:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,6,7
7,cut,low_clearance,11.0,19.0,11.0,18.0,1.0,single:16:left,16:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,7,8
8,cut,low_clearance,11.0,18.0,11.0,7.0,11.0,single:8:left,8:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,8,9
9,cut,low_clearance,11.0,7.0,11.0,0.0,7.0,single:12:left,12:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,9,10
10,cut,low_clearance,11.0,0.0,20.0,0.0,9.0,single:12:bottom,12:bottom,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,10,11
11,cut,low_clearance,20.0,0.0,20.0,7.0,7.0,single:12:right,12:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,11,12
12,cut,low_clearance,20.0,7.0,20.0,14.0,7.0,single:17:right,17:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,12,13
13,cut,low_clearance,20.0,14.0,20.0,19.0,5.0,single:2:right,2:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,13,14
14,cut,low_clearance,20.0,19.0,19.0,19.0,1.0,single:2:top,2:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,14,15
15,travel,low_clearance,19.0,19.0,19.0,18.0,1.0,single:8:right,,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0,,,15,15
16,cut,low_clearance,19.0,18.0,19.0,7.0,11.0,single:8:right,8:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,15,16
17,cut,low_clearance,19.0,7.0,11.0,7.0,8.0,single:8:bottom,8:bottom,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,16,17
18,travel,low_clearance,11.0,7.0,11.0,6.0,1.0,single:10:right,,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0,,,17,17
19,cut,low_clearance,11.0,6.0,11.0,0.0,6.0,single:10:right,10:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,17,18
20,cut,low_clearance,11.0,0.0,0.0,0.0,11.0,single:10:bottom,10:bottom,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,18,19
21,travel,low_clearance,0.0,0.0,0.0,6.0,6.0,single:9:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,6.0,0.0,0,0,0,0,,,19,19
