action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,5.0,5.0,648.5,5.0,643.5,collinear_edge:1029:bottom|251:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,2
1,cut,low_clearance,648.5,5.0,1294.5,5.0,646.0,collinear_edge:646:bottom|694:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,4
2,cut,low_clearance,1294.5,5.0,1940.5,5.0,646.0,collinear_edge:1119:bottom|798:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,6
3,cut,low_clearance,1940.5,5.0,1940.5,289.0,284.0,shared_edge:1119:right|1571:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,6,8
4,cut,low_clearance,1940.5,289.0,1848.9,289.0,91.59999999999991,shared_edge:1000:bottom|1119:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,8,10
5,cut,low_clearance,1848.9,289.0,1848.9,582.0,293.0,shared_edge:1000:left|871:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,10,12
6,cut,low_clearance,1848.9,582.0,1875.6000000000001,582.0,26.700000000000045,shared_edge:1000:top|1320:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,12,14
7,cut,low_clearance,1875.6000000000001,582.0,1875.6000000000001,875.0,293.0,shared_edge:1320:right|1659:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,14,16
8,cut,low_clearance,1875.6000000000001,875.0,1875.6000000000001,1168.0,293.0,shared_edge:2606:right|710:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,16,18
9,cut,low_clearance,1875.6000000000001,1168.0,1254.2,1168.0,621.4000000000001,collinear_edge:2259:top|2606:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,18,20
10,cut,low_clearance,1254.2,1168.0,1254.2,905.0,263.0,shared_edge:2259:left|252:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,20,22
11,cut,low_clearance,1254.2,905.0,1254.2,875.0,30.0,shared_edge:2259:left|45:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,22,23
12,cut,low_clearance,1254.2,875.0,1564.9,875.0,310.70000000000005,shared_edge:1056:top|2259:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,23,25
13,cut,low_clearance,1564.9,875.0,1875.6000000000001,875.0,310.70000000000005,shared_edge:1320:top|2606:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,25,27
14,cut,low_clearance,1875.6000000000001,875.0,2185.6000000000004,875.0,310.0000000000002,shared_edge:1659:top|710:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,27,29
15,cut,low_clearance,2185.6000000000004,875.0,2186.3,875.0,0.6999999999998181,shared_edge:1659:top|2366:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,29,30
16,travel,low_clearance,2186.3,875.0,2186.3,867.0,8.0,shared_edge:1204:left|1659:right,,0.0,0.0,0.0,0,0.0,0,0.0,8.0,0.0,0,0,0,0,,,30,30
17,cut,low_clearance,2186.3,867.0,2186.3,617.0,250.0,shared_edge:1204:left|1659:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,30,32
18,cut,low_clearance,2186.3,617.0,2186.3,582.0,35.0,shared_edge:1659:right|2595:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,32,33
19,travel,low_clearance,2186.3,582.0,2159.6,582.0,26.700000000000273,single:1000:right,,0.0,0.0,0.0,0,0.0,0,0.0,26.700000000000273,0.0,0,0,0,0,,,33,33
20,cut,low_clearance,2159.6,582.0,2159.6,289.0,293.0,single:1000:right,1000:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,,,33,34
21,travel,low_clearance,2159.6,289.0,2186.3,289.0,26.700000000000273,shared_edge:1571:top|2595:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,26.700000000000273,0.0,1,1,0,0,,,34,34
22,cut,low_clearance,2186.3,289.0,2263.5,289.0,77.19999999999982,shared_edge:1571:top|2595:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,34,36
23,travel,low_clearance,2263.5,289.0,2159.6,582.0,310.87651889456043,shared_edge:1000:top|1659:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,310.87651889456043,0.0,1,1,0,0,,,36,36
24,cut,low_clearance,2159.6,582.0,1875.6000000000001,582.0,283.9999999999998,shared_edge:1000:top|1659:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,2,0,0,,,36,37
25,travel,low_clearance,1875.6000000000001,582.0,1564.9,582.0,310.70000000000005,shared_edge:1056:bottom|871:top,,0.0,0.0,0.0,0,0.0,0,0.0,310.7,0.0,2,2,0,0,,,37,37
26,cut,low_clearance,1564.9,582.0,1538.2,582.0,26.700000000000045,shared_edge:1056:bottom|871:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,37,39
