action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,5.0,5.0,5.0,591.0,586.0,collinear_edge:1029:left|2145:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,2
1,cut,low_clearance,5.0,591.0,314.0,591.0,309.0,shared_edge:1344:bottom|2145:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,4
2,cut,low_clearance,314.0,591.0,335.0,591.0,21.0,shared_edge:2145:top|482:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,5
3,cut,low_clearance,335.0,591.0,335.0,305.0,286.0,shared_edge:1489:left|2145:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,5,7
4,cut,low_clearance,335.0,305.0,335.0,298.0,7.0,shared_edge:1029:right|1489:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,7,8
5,cut,low_clearance,335.0,298.0,335.0,5.0,293.0,shared_edge:1029:right|251:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,8,9
6,cut,low_clearance,335.0,5.0,971.5,5.0,636.5,collinear_edge:251:bottom|646:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,9,11
7,cut,low_clearance,971.5,5.0,971.5,289.0,284.0,shared_edge:646:right|694:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,11,13
8,cut,low_clearance,971.5,289.0,943.5,289.0,28.0,shared_edge:2737:bottom|646:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,13,15
9,travel,low_clearance,943.5,289.0,924.5,289.0,19.0,shared_edge:2347:bottom|646:top,,0.0,0.0,0.0,0,0.0,0,0.0,19.0,0.0,0,0,0,0,,,15,15
10,cut,low_clearance,924.5,289.0,648.5,289.0,276.0,shared_edge:2347:bottom|646:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,15,16
11,cut,low_clearance,648.5,289.0,648.5,298.0,9.0,shared_edge:2347:left|251:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,16,18
12,cut,low_clearance,648.5,298.0,648.5,585.0,287.0,shared_edge:1489:right|2347:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,18,19
13,travel,low_clearance,648.5,585.0,648.5,588.0,3.0,near_shared_edge:2347:top|347:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,3.0,0.0,0,0,0,0,,,19,19
14,cut,low_clearance,648.5,588.0,924.5,588.0,276.0,near_shared_edge:2347:top|347:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,19,21
15,travel,low_clearance,924.5,588.0,924.5,585.0,3.0,single:2347:right,,0.0,0.0,0.0,0,0.0,0,0.0,3.0,0.0,0,0,0,0,,,21,21
16,cut,low_clearance,924.5,585.0,924.5,289.0,296.0,single:2347:right,2347:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,,,21,22
17,travel,low_clearance,924.5,289.0,648.5,289.0,276.0,shared_edge:251:right|646:left,,0.0,0.0,0.0,0,0.0,0,0.0,276.0,0.0,1,1,0,0,,,22,22
18,cut,low_clearance,648.5,289.0,648.5,5.0,284.0,shared_edge:251:right|646:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,2,0,0,,,22,23
19,cut,low_clearance,648.5,5.0,5.0,5.0,643.5,collinear_edge:1029:bottom|251:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,23,24
20,travel,low_clearance,5.0,5.0,5.0,305.0,300.0,shared_edge:1029:top|2145:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,300.0,0.0,2,2,0,0,,,24,24
21,cut,low_clearance,5.0,305.0,335.0,305.0,330.0,shared_edge:1029:top|2145:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,4,0,0,,,24,26
22,travel,low_clearance,335.0,305.0,335.0,298.0,7.0,shared_edge:1489:bottom|251:top,,0.0,0.0,0.0,0,0.0,0,0.0,7.0,0.0,4,4,0,0,,,26,26
23,cut,low_clearance,335.0,298.0,648.5,298.0,313.5,shared_edge:1489:bottom|251:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,4,5,0,1,,1489,26,28
24,travel,low_clearance,648.5,298.0,648.5,591.0,293.0,shared_edge:1489:top|347:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,293.0,0.0,5,5,1,1,1489,1489,28,28
25,cut,low_clearance,648.5,591.0,620.5,591.0,28.0,shared_edge:1489:top|347:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5,6,1,0,1489,,28,29
26,cut,low_clearance,620.5,591.0,620.5,875.0,284.0,shared_edge:347:left|482:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6,6,0,0,,,29,31
27,cut,low_clearance,620.5,875.0,620.5,893.0,18.0,shared_edge:482:right|507:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6,6,0,0,,,31,32
28,cut,low_clearance,620.5,893.0,314.0,893.0,306.5,single:482:top,482:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6,6,0,1,,482,32,33
29,travel,low_clearance,314.0,893.0,314.0,891.0,2.0,shared_edge:1344:right|482:left,,0.0,0.0,0.0,0,0.0,0,0.0,2.0,0.0,6,6,1,1,482,482,33,33
30,cut,low_clearance,314.0,891.0,314.0,591.0,300.0,shared_edge:1344:right|482:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6,7,1,1,482,1344,33,35
31,travel,low_clearance,314.0,591.0,298.0,891.0,300.42636369000644,shared_edge:1111:bottom|1344:top,,0.0,0.0,0.0,0,0.0,0,0.0,300.4263636900064,0.0,7,7,1,1,1344,1344,35,35
32,cut,low_clearance,298.0,891.0,5.0,891.0,293.0,shared_edge:1111:bottom|1344:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7,7,1,1,1344,1344,35,37
