case_id,baseline_method,target_method,rectangle_count,baseline_travel_mode_cost,target_travel_mode_cost,travel_mode_cost_delta,travel_mode_cost_reduction_pct,baseline_air_move_distance,target_air_move_distance,air_move_distance_reduction_pct,baseline_cutting_length,target_cutting_length,baseline_machining_cost,target_machining_cost,machining_cost_reduction_pct,baseline_hard_penalty,target_hard_penalty,hard_penalty_delta,baseline_stability_penalty,target_stability_penalty,stability_penalty_delta,stability_penalty_reduction,baseline_tool_event_count,target_tool_event_count,tool_event_count_reduction,baseline_runtime_ms,target_runtime_ms,runtime_ratio,process_key_winner
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,greedy,process_aware_beam,9,34.000000,32.000000,-2.000000,5.882353,34.000000,32.000000,5.882353,150.000000,150.000000,184.000000,182.000000,1.086957,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,16.000000,18.000000,-2.000000,1.547917,90.564750,58.507497,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,path_distance_local_search,process_aware_beam,9,34.000000,32.000000,-2.000000,5.882353,34.000000,32.000000,5.882353,150.000000,150.000000,184.000000,182.000000,1.086957,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,16.000000,18.000000,-2.000000,97.904167,90.564750,0.925035,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,topology_process_aware,process_aware_beam,9,63.700490,32.000000,-31.700490,49.764908,63.700490,32.000000,49.764908,150.000000,150.000000,213.700490,182.000000,14.834075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.000000,18.000000,4.000000,31.653792,90.564750,2.861103,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|2,greedy,process_aware_beam,7,26.000000,18.000000,-8.000000,30.769231,26.000000,18.000000,30.769231,168.000000,168.000000,194.000000,186.000000,4.123711,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,16.000000,14.000000,2.000000,0.827167,60.149875,72.717934,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|2,path_distance_local_search,process_aware_beam,7,26.000000,18.000000,-8.000000,30.769231,26.000000,18.000000,30.769231,168.000000,168.000000,194.000000,186.000000,4.123711,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,16.000000,14.000000,2.000000,73.948416,60.149875,0.813403,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|2,topology_process_aware,process_aware_beam,7,31.000000,18.000000,-13.000000,41.935484,31.000000,18.000000,41.935484,168.000000,168.000000,199.000000,186.000000,6.532663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,14.000000,0.000000,15.625625,60.149875,3.849438,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|3,greedy,process_aware_beam,2,5.000000,12.615773,7.615773,-152.315462,5.000000,12.615773,-152.315462,69.000000,69.000000,74.000000,81.615773,-10.291585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,6.000000,-2.000000,0.214750,8.113125,37.779395,baseline
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|3,path_distance_local_search,process_aware_beam,2,5.000000,12.615773,7.615773,-152.315462,5.000000,12.615773,-152.315462,69.000000,69.000000,74.000000,81.615773,-10.291585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,6.000000,-4.000000,16.081417,8.113125,0.504503,baseline
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|3,topology_process_aware,process_aware_beam,2,12.615773,12.615773,0.000000,0.000000,12.615773,12.615773,0.000000,69.000000,69.000000,81.615773,81.615773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,0.000000,1.354042,8.113125,5.991782,baseline
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|1,greedy,process_aware_beam,4,31.000000,24.950845,-6.049155,19.513404,31.000000,24.950845,19.513404,117.000000,117.000000,148.000000,141.950845,4.087267,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,8.000000,10.000000,-2.000000,0.636208,26.222250,41.216473,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|1,path_distance_local_search,process_aware_beam,4,31.000000,24.950845,-6.049155,19.513404,31.000000,24.950845,19.513404,117.000000,117.000000,148.000000,141.950845,4.087267,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,8.000000,10.000000,-2.000000,36.573625,26.222250,0.716972,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|1,topology_process_aware,process_aware_beam,4,50.935417,24.950845,-25.984573,51.014744,50.935417,24.950845,51.014744,117.000000,117.000000,167.935417,141.950845,15.472956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,10.000000,4.000000,4.470167,26.222250,5.866056,target
