archive,case_name,placement_method,seed,placements_member,board_id,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,beam_width,candidate_pool_size,max_expansions_per_node,max_layer_expansions,layer_multiplier,unstable_layer_expansion_multiplier,unstable_layer_expansion_bonus,diversity_bucket_limit,min_expansions_per_parent,unstable_min_expansions_per_parent,runtime_ms,expanded_nodes,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,travel_mode_cost,hard_penalty,stability_penalty,safe_lift_count,detour_count
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,all_edges,1,0.75,0.0,1.0,8,24,48,48,6,1.0,0,1,0,2,131.07429199999993,1288,9,50,28,43,71.6772849265423,71.6772849265423,0.0,0.0,0,5
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,all_edges,1,0.75,0.0,1.0,8,24,48,64,8,1.0,0,1,0,2,109.36087500000002,1668,9,50,28,39,35.47213595499958,35.47213595499958,0.0,0.0,0,3
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,all_edges,1,0.75,0.0,1.0,8,24,48,80,10,1.0,0,1,0,2,121.665833,2036,9,50,28,39,35.47213595499958,35.47213595499958,0.0,0.0,0,3
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,all_edges,1,0.75,0.0,1.0,8,24,48,96,12,1.0,0,1,0,2,152.40620800000005,2384,9,50,28,41,49.851841083363695,49.851841083363695,0.0,0.0,0,4
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,all_edges,1,0.75,0.0,1.0,8,24,48,48,6,1.0,0,1,0,2,378.850583,2444,20,154,53,91,7777.247079688069,7777.247079688069,0.0,0.0,0,19
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,all_edges,1,0.75,0.0,1.0,8,24,48,64,8,1.0,0,1,0,2,648.3798339999997,3098,20,154,53,112,8483.187649741096,8483.187649741096,0.0,0.0,0,39
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,all_edges,1,0.75,0.0,1.0,8,24,48,80,10,1.0,0,1,0,2,729.705542,3786,20,154,53,112,8483.187649741096,8483.187649741096,0.0,0.0,0,39
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,all_edges,1,0.75,0.0,1.0,8,24,48,96,12,1.0,0,1,0,2,990.0808749999999,4606,20,154,53,84,8069.967826108991,8069.967826108991,0.0,0.0,0,7
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,48,6,1.0,0,1,0,2,124.56591699999997,1252,9,51,28,46,55.601470508735446,55.601470508735446,0.0,0.0,0,11
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,64,8,1.0,0,1,0,2,121.94820900000013,1672,9,51,28,41,39.071067811865476,39.071067811865476,0.0,0.0,0,5
