action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,released_parts_before,released_parts_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,5.0,5.0,1243.0,5.0,1238.0,collinear_edge:218:bottom|379:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,2
1,cut,low_clearance,1243.0,5.0,1243.0,427.5,422.5,shared_edge:218:right|894:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,4
2,travel,low_clearance,1243.0,427.5,1427.0,485.0,192.77512806376242,,,0.0,0.0,0.0,0,0.0,0,0.0,192.77512806376242,0,0,4,4
3,cut,low_clearance,1427.0,485.0,1427.0,5.0,480.0,single:894:right,894:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,5
4,cut,low_clearance,1427.0,5.0,979.0,5.0,448.0,collinear_edge:218:bottom|894:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,6
5,cut,low_clearance,979.0,5.0,979.0,427.5,422.5,shared_edge:218:left|379:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,8
6,cut,low_clearance,979.0,427.5,1243.0,427.5,264.0,single:218:top,218:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,1,8,9
7,travel,low_clearance,1243.0,427.5,1243.0,485.0,57.5,,,0.0,0.0,0.0,0,0.0,0,0.0,57.5,1,1,9,9
8,cut,low_clearance,1243.0,485.0,1427.0,485.0,184.0,single:894:top,894:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,2,9,10
9,travel,low_clearance,1427.0,485.0,1451.0,538.0,58.180752831155424,,,0.0,0.0,0.0,0,0.0,0,0.0,58.180752831155445,2,2,10,10
10,cut,low_clearance,1451.0,538.0,1451.0,835.0,297.0,shared_edge:385:right|537:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2,10,12
11,travel,low_clearance,1451.0,835.0,1329.0,841.0,122.14745187681976,,,0.0,0.0,0.0,0,0.0,0,0.0,122.14745187681979,2,2,12,12
12,cut,low_clearance,1329.0,841.0,1329.0,1102.0,261.0,single:718:right,718:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2,12,13
13,travel,low_clearance,1329.0,1102.0,1408.0,1102.0,79.0,,,0.0,0.0,0.0,0,0.0,0,0.0,79.0,2,2,13,13
14,cut,low_clearance,1408.0,1102.0,1408.0,1172.0,70.0,single:489:right,489:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2,13,14
15,travel,low_clearance,1408.0,1172.0,971.0,835.0,551.8496171965693,,,0.0,0.0,0.0,0,0.0,0,0.0,551.8496171965693,2,2,14,14
16,cut,low_clearance,971.0,835.0,971.0,538.0,297.0,shared_edge:385:left|574:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2,14,16
17,travel,low_clearance,971.0,538.0,488.0,538.0,483.0,,,0.0,0.0,0.0,0,0.0,0,0.0,483.0,2,2,16,16
18,cut,low_clearance,488.0,538.0,488.0,841.0,303.0,shared_edge:554:right|574:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2,16,18
19,travel,low_clearance,488.0,841.0,388.0,1102.0,279.50134167835404,,,0.0,0.0,0.0,0,0.0,0,0.0,279.50134167835404,2,2,18,18
20,cut,low_clearance,388.0,1102.0,388.0,1172.0,70.0,shared_edge:1010:right|489:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2,18,20
21,travel,low_clearance,388.0,1172.0,5.0,1177.0,383.03263568526376,,,0.0,0.0,0.0,0,0.0,0,0.0,383.0326356852636,2,2,20,20
22,cut,low_clearance,5.0,1177.0,5.0,841.0,336.0,collinear_edge:1010:left|718:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2,20,22
23,cut,low_clearance,5.0,841.0,5.0,5.0,836.0,collinear_edge:379:left|554:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2,22,24
24,travel,low_clearance,5.0,5.0,5.0,538.0,533.0,,,0.0,0.0,0.0,0,0.0,0,0.0,533.0,2,2,24,24
25,cut,low_clearance,5.0,538.0,5.0,1102.0,564.0,collinear_edge:554:left|718:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,2,24,24
26,travel,low_clearance,5.0,1102.0,5.0,538.0,564.0,,,0.0,0.0,0.0,0,0.0,0,0.0,564.0,2,2,24,24
27,cut,low_clearance,5.0,538.0,488.0,538.0,483.0,shared_edge:379:top|554:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,3,24,26
28,cut,low_clearance,488.0,538.0,971.0,538.0,483.0,shared_edge:379:top|574:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,3,26,27
29,cut,low_clearance,971.0,538.0,979.0,538.0,8.0,shared_edge:379:top|385:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,3,27,28
30,travel,low_clearance,979.0,538.0,971.0,838.0,300.1066477104431,,,0.0,0.0,0.0,0,0.0,0,0.0,300.1066477104432,3,3,28,28
31,cut,low_clearance,971.0,838.0,1329.0,838.0,358.0,near_shared_edge:385:top|718:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,4,28,30
32,travel,low_clearance,1329.0,838.0,1329.0,1102.0,264.0,,,0.0,0.0,0.0,0,0.0,0,0.0,264.0,4,4,30,30
33,cut,low_clearance,1329.0,1102.0,388.0,1102.0,941.0,shared_edge:489:bottom|718:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,4,5,30,32
34,cut,low_clearance,388.0,1102.0,5.0,1102.0,383.0,shared_edge:1010:bottom|718:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,5,5,32,33
35,travel,low_clearance,5.0,1102.0,5.0,1177.0,75.0,,,0.0,0.0,0.0,0,0.0,0,0.0,75.0,5,5,33,33
36,cut,low_clearance,5.0,1177.0,388.0,1177.0,383.0,single:1010:top,1010:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,5,6,33,34
37,travel,low_clearance,388.0,1177.0,388.0,1172.0,5.0,,,0.0,0.0,0.0,0,0.0,0,0.0,5.0,6,6,34,34
38,cut,low_clearance,388.0,1172.0,1408.0,1172.0,1020.0,single:489:top,489:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6,7,34,35
39,travel,low_clearance_detour,1408.0,1172.0,1408.0,1105.0,67.0,,,0.0,0.0,0.0,0,0.0,1,67.0,67.0,7,7,35,35
40,travel,low_clearance_detour,1408.0,1105.0,1408.0,1099.0,6.0,,,0.0,0.0,0.0,0,0.0,1,6.0,6.0,7,7,35,35
41,travel,low_clearance_detour,1408.0,1099.0,1332.0,1099.0,76.0,,,0.0,0.0,0.0,0,0.0,1,76.0,76.0,7,7,35,35
42,travel,low_clearance_detour,1332.0,1099.0,1332.0,841.0,258.0,,,0.0,0.0,0.0,0,0.0,1,258.0,258.0,7,7,35,35
43,travel,low_clearance_detour,1332.0,841.0,1246.0,841.0,86.0,,,0.0,0.0,0.0,0,0.0,1,86.0,86.0,7,7,35,35
44,travel,low_clearance_detour,1246.0,841.0,1240.0,841.0,6.0,,,0.0,0.0,0.0,0,0.0,1,6.0,6.0,7,7,35,35
45,travel,low_clearance_detour,1240.0,841.0,982.0,841.0,258.0,,,0.0,0.0,0.0,0,0.0,1,258.0,258.0,7,7,35,35
46,travel,low_clearance_detour,982.0,841.0,976.0,841.0,6.0,,,0.0,0.0,0.0,0,0.0,1,6.0,6.0,7,7,35,35
47,travel,low_clearance_detour,976.0,841.0,971.0,841.0,5.0,,,0.0,0.0,0.0,0,0.0,1,5.0,5.0,7,7,35,35
48,cut,low_clearance,971.0,841.0,488.0,841.0,483.0,shared_edge:574:top|718:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,8,35,36
49,cut,low_clearance,488.0,841.0,5.0,841.0,483.0,shared_edge:554:top|718:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,8,9,36,37
50,travel,safe_lift,5.0,841.0,1451.0,5.0,1670.273031572982,,,1.0,0.0,0.0,1,1670.273031572982,0,0.0,1920.2730315729823,9,9,37,37
51,cut,low_clearance,1451.0,5.0,2434.5,5.0,983.5,single:537:bottom,537:bottom,0.0,0.0,0.0,0,0.0,0,0.0,0.0,9,9,37,38
52,cut,low_clearance,2434.5,5.0,2434.5,1212.0,1207.0,single:537:right,537:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,9,9,38,39
53,cut,low_clearance,2434.5,1212.0,1451.0,1212.0,983.5,single:537:top,537:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,9,10,39,40
