action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,5.0,5.0,1243.0,5.0,1238.0,collinear_edge:218:bottom|379:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,2
1,cut,low_clearance,1243.0,5.0,1243.0,427.5,422.5,shared_edge:218:right|894:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,4
2,travel,low_clearance,1243.0,427.5,1243.0,485.0,57.5,single:894:top,,0.0,0.0,0.0,0,0.0,0,0.0,57.5,0.0,0,0,0,0,,,4,4
3,cut,low_clearance,1243.0,485.0,1427.0,485.0,184.0,single:894:top,894:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,5
4,travel,low_clearance,1427.0,485.0,1451.0,538.0,58.180752831155424,shared_edge:385:right|537:left,,0.0,0.0,0.0,0,0.0,0,0.0,58.18075283115542,0.0,0,0,0,0,,,5,5
5,cut,low_clearance,1451.0,538.0,1451.0,835.0,297.0,shared_edge:385:right|537:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,5,7
6,travel,low_clearance,1451.0,835.0,1329.0,838.0,122.03687967167959,near_shared_edge:385:top|718:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,122.03687967167957,0.0,0,0,0,0,,,7,7
7,cut,low_clearance,1329.0,838.0,971.0,838.0,358.0,near_shared_edge:385:top|718:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,7,9
8,travel,low_clearance,971.0,838.0,971.0,841.0,3.0,shared_edge:574:top|718:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,3.0,0.0,0,0,0,0,,,9,9
9,cut,low_clearance,971.0,841.0,488.0,841.0,483.0,shared_edge:574:top|718:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,9,10
