action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,5.0,5.0,657.0,5.0,652.0,collinear_edge:2184:bottom|88:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,2
1,cut,low_clearance,657.0,5.0,1297.0,5.0,640.0,collinear_edge:1048:bottom|1403:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,4
2,cut,low_clearance,1297.0,5.0,1937.5,5.0,640.5,collinear_edge:180:bottom|2459:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,6
3,cut,low_clearance,1937.5,5.0,1937.5,316.0,311.0,shared_edge:1565:left|180:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,6,8
4,cut,low_clearance,1937.5,316.0,2239.0,316.0,301.5,shared_edge:1565:top|1914:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,8,10
5,cut,low_clearance,2239.0,316.0,2239.0,636.5,320.5,single:1914:right,1914:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,10,11
6,cut,low_clearance,2239.0,636.5,1936.8,636.5,302.20000000000005,shared_edge:1914:top|2414:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,11,13
7,cut,low_clearance,1936.8,636.5,1928.0,636.5,8.799999999999955,shared_edge:1689:bottom|1914:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,13,14
8,cut,low_clearance,1928.0,636.5,1617.0,636.5,311.0,shared_edge:1689:bottom|1874:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,14,15
9,travel,low_clearance,1617.0,636.5,1598.8,636.5,18.200000000000045,shared_edge:1384:right|1689:left,,0.0,0.0,0.0,0,0.0,0,0.0,18.200000000000045,0.0,0,0,0,0,,,15,15
10,cut,low_clearance,1598.8,636.5,1598.8,655.0,18.5,shared_edge:1384:right|1689:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,15,17
11,travel,low_clearance,1598.8,655.0,1577.8,655.0,21.0,shared_edge:1384:top|2434:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,21.0,0.0,0,0,0,0,,,17,17
