action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,5.0,5.0,773.0,5.0,768.0,collinear_edge:1926:bottom|868:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,2
1,cut,low_clearance,773.0,5.0,1541.0,5.0,768.0,collinear_edge:419:bottom|658:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,4
2,cut,low_clearance,1541.0,5.0,2159.0,5.0,618.0,collinear_edge:1065:bottom|766:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,6
3,cut,low_clearance,2159.0,5.0,2159.0,387.0,382.0,single:766:right,766:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,6,7
4,cut,low_clearance,2159.0,387.0,2080.0,387.0,79.0,shared_edge:388:bottom|766:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,7,9
5,cut,low_clearance,2080.0,387.0,2080.0,751.0,364.0,shared_edge:388:left|784:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,9,11
6,cut,low_clearance,2080.0,751.0,1769.0,751.0,311.0,shared_edge:1012:bottom|784:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,11,13
7,cut,low_clearance,1769.0,751.0,1769.0,698.0,53.0,shared_edge:784:left|785:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,13,15
8,cut,low_clearance,1769.0,698.0,1769.0,387.0,311.0,shared_edge:1289:right|784:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,15,16
9,cut,low_clearance,1769.0,387.0,1850.0,387.0,81.0,shared_edge:1065:top|784:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,,,16,18
10,travel,low_clearance,1850.0,387.0,1850.0,5.0,382.0,collinear_edge:1065:bottom|419:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,382.0,0.0,1,1,0,0,,,18,18
11,cut,low_clearance,1850.0,5.0,1157.0,5.0,693.0,collinear_edge:1065:bottom|419:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,18,18
12,cut,low_clearance,1157.0,5.0,1157.0,315.0,310.0,shared_edge:419:left|658:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,18,20
13,cut,low_clearance,1157.0,315.0,1094.0,315.0,63.0,shared_edge:2202:bottom|658:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,20,22
14,cut,low_clearance,1094.0,315.0,786.0,315.0,308.0,shared_edge:658:top|972:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,22,23
15,cut,low_clearance,786.0,315.0,773.0,315.0,13.0,shared_edge:1957:bottom|658:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,23,24
16,cut,low_clearance,773.0,315.0,389.0,315.0,384.0,shared_edge:1957:bottom|868:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,24,25
17,cut,low_clearance,389.0,315.0,5.0,315.0,384.0,shared_edge:1450:bottom|1926:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,25,27
18,cut,low_clearance,5.0,315.0,5.0,935.0,620.0,collinear_edge:1002:left|1450:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,27,29
19,cut,low_clearance,5.0,935.0,389.0,935.0,384.0,single:1002:top,1002:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,29,30
20,travel,low_clearance,389.0,935.0,389.0,994.3,59.299999999999955,single:1980:top,,0.0,0.0,0.0,0,0.0,0,0.0,59.299999999999955,0.0,1,1,0,0,,,30,30
21,cut,low_clearance,389.0,994.3,755.0,994.3,366.0,single:1980:top,1980:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,30,31
22,cut,low_clearance,755.0,994.3,755.0,685.3,309.0,shared_edge:1229:left|1980:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,31,33
23,travel,low_clearance,755.0,685.3,786.0,685.3,31.0,shared_edge:1229:bottom|972:top,,0.0,0.0,0.0,0,0.0,0,0.0,31.0,0.0,1,1,0,0,,,33,33
24,cut,low_clearance,786.0,685.3,1064.0,685.3,278.0,shared_edge:1229:bottom|972:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,33,35
25,travel,low_clearance,1064.0,685.3,1094.0,685.3,30.0,shared_edge:2201:left|972:right,,0.0,0.0,0.0,0,0.0,0,0.0,30.0,0.0,1,1,0,0,,,35,35
26,cut,low_clearance,1094.0,685.3,1094.0,679.0,6.2999999999999545,shared_edge:2201:left|972:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,35,37
27,cut,low_clearance,1094.0,679.0,1405.0,679.0,311.0,shared_edge:2201:bottom|2202:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,37,39
28,cut,low_clearance,1405.0,679.0,1405.0,387.0,292.0,shared_edge:1289:left|2202:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,39,41
29,travel,low_clearance,1405.0,387.0,1405.0,315.0,72.0,shared_edge:2202:bottom|419:top,,0.0,0.0,0.0,0,0.0,0,0.0,72.0,0.0,1,1,0,0,,,41,41
30,cut,low_clearance,1405.0,315.0,1157.0,315.0,248.0,shared_edge:2202:bottom|419:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,41,42
31,travel,low_clearance,1157.0,315.0,786.0,315.0,371.0,shared_edge:1957:right|972:left,,0.0,0.0,0.0,0,0.0,0,0.0,371.0,0.0,1,1,0,0,,,42,42
32,cut,low_clearance,786.0,315.0,786.0,626.0,311.0,shared_edge:1957:right|972:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,2,0,0,,,42,44
33,cut,low_clearance,786.0,626.0,389.0,626.0,397.0,single:1957:top,1957:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,1,,1957,44,45
34,travel,low_clearance,389.0,626.0,389.0,625.0,1.0,shared_edge:1450:right|1957:left,,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,2,2,1,1,1957,1957,45,45
35,cut,low_clearance,389.0,625.0,389.0,315.0,310.0,shared_edge:1450:right|1957:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,3,1,0,1957,,45,47
36,travel,low_clearance,389.0,315.0,1094.0,315.0,705.0,shared_edge:2202:left|972:right,,0.0,0.0,0.0,0,0.0,0,0.0,705.0,0.0,3,3,0,0,,,47,47
37,cut,low_clearance,1094.0,315.0,1094.0,679.0,364.0,shared_edge:2202:left|972:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,4,0,0,,,47,48
38,travel,low_clearance,1094.0,679.0,1769.0,751.0,678.8291390327907,shared_edge:1012:left|785:right,,0.0,0.0,0.0,0,0.0,0,0.0,678.8291390327906,0.0,4,4,0,0,,,48,48
39,cut,low_clearance,1769.0,751.0,1769.0,1009.0,258.0,shared_edge:1012:left|785:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,4,4,0,0,,,48,49
40,cut,low_clearance,1769.0,1009.0,1405.0,1009.0,364.0,single:785:top,785:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,4,4,0,0,,,49,50
