archive,seed,board,candidate_source,selected,gate_reason,extra_tool_events,required_travel_saving,travel_saving,machining_saving,baseline_events,candidate_events,baseline_detours,candidate_detours
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1003,149,beam,True,protected_beam,0,0.0,0.0,0.0,51,51,52,52
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1003,149,topology,False,insufficient_machining_saving,5,918.8,-132.5,-132.5,51,56,52,8
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1003,149,polished,False,insufficient_travel_saving,3,551.3,523.4,523.4,51,54,52,52
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1003,149,fallback_polished,False,insufficient_travel_saving,3,551.3,523.4,523.4,51,54,52,52
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1003,150,fallback_polished,True,no_extra_tool_events,-6,0.0,997.0,997.0,61,55,17,42
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1004,149,topology,True,extra_events_justified,3,555.6,798.3,798.3,49,52,51,8
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1004,149,polished,False,insufficient_travel_saving,3,555.6,523.4,523.4,49,52,51,51
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1004,149,fallback_polished,False,insufficient_travel_saving,3,555.6,523.4,523.4,49,52,51,51
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1004,150,beam,True,protected_beam,0,0.0,0.0,0.0,70,70,19,19
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,seed_1004,150,topology,False,insufficient_machining_saving,10,2156.2,-1329.0,-1329.0,70,80,19,37
review_overnight_20260422.zip,seed_1000,333,beam,True,protected_beam,0,0.0,0.0,0.0,64,64,23,23
review_overnight_20260422.zip,seed_1000,333,topology,False,insufficient_travel_saving,11,2242.9,961.1,961.1,64,75,23,7
review_overnight_20260422.zip,seed_1000,333,fallback_polished,False,insufficient_machining_saving,1,203.9,-890.8,-890.8,64,65,23,14
review_overnight_20260422.zip,seed_1000,340,beam,True,protected_beam,0,0.0,0.0,0.0,68,68,23,23
review_overnight_20260422.zip,seed_1000,340,fallback_polished,True,extra_events_justified,3,753.8,2238.9,2238.9,69,72,37,10
