action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,5.0,5.0,5.0,625.0,620.0,collinear_edge:1450:left|1926:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,2
1,cut,low_clearance,5.0,625.0,389.0,625.0,384.0,shared_edge:1002:bottom|1450:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,4
2,cut,low_clearance,389.0,625.0,389.0,626.0,1.0,shared_edge:1002:right|1957:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,6
3,cut,low_clearance,389.0,626.0,786.0,626.0,397.0,single:1957:top,1957:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,6,7
4,cut,low_clearance,786.0,626.0,786.0,315.0,311.0,shared_edge:1957:right|972:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,7,9
5,cut,low_clearance,786.0,315.0,773.0,315.0,13.0,shared_edge:1957:bottom|658:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,,,9,11
6,cut,low_clearance,773.0,315.0,773.0,5.0,310.0,shared_edge:658:left|868:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,11,13
7,cut,low_clearance,773.0,5.0,5.0,5.0,768.0,collinear_edge:1926:bottom|868:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,13,15
8,travel,low_clearance,5.0,5.0,5.0,315.0,310.0,shared_edge:1450:bottom|1926:top,,0.0,0.0,0.0,0,0.0,0,0.0,310.0,0.0,1,1,0,0,,,15,15
9,cut,low_clearance,5.0,315.0,389.0,315.0,384.0,shared_edge:1450:bottom|1926:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,1,,1926,15,17
10,cut,low_clearance,389.0,315.0,389.0,625.0,310.0,shared_edge:1450:right|1957:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,1,2,1,0,1926,,17,18
11,travel,low_clearance,389.0,625.0,389.0,685.3,60.299999999999955,shared_edge:1002:right|1980:left,,0.0,0.0,0.0,0,0.0,0,0.0,60.299999999999955,0.0,2,2,0,0,,,18,18
12,cut,low_clearance,389.0,685.3,389.0,935.0,249.70000000000005,shared_edge:1002:right|1980:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,1,,1002,18,19
13,cut,low_clearance,389.0,935.0,5.0,935.0,384.0,single:1002:top,1002:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,1,1,1002,1002,19,20
14,cut,low_clearance,5.0,935.0,5.0,315.0,620.0,collinear_edge:1002:left|1450:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,3,1,0,1002,,20,21
15,travel,low_clearance,5.0,315.0,389.0,315.0,384.0,shared_edge:1926:right|868:left,,0.0,0.0,0.0,0,0.0,0,0.0,384.0,0.0,3,3,0,0,,,21,21
16,cut,low_clearance,389.0,315.0,389.0,5.0,310.0,shared_edge:1926:right|868:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,4,0,1,,868,21,23
17,travel,low_clearance,389.0,5.0,389.0,315.0,310.0,shared_edge:1957:bottom|868:top,,0.0,0.0,0.0,0,0.0,0,0.0,310.0,0.0,4,4,1,1,868,868,23,23
18,cut,low_clearance,389.0,315.0,773.0,315.0,384.0,shared_edge:1957:bottom|868:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,4,5,1,0,868,,23,24
19,travel,low_clearance,773.0,315.0,786.0,315.0,13.0,shared_edge:658:top|972:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,13.0,0.0,5,5,0,0,,,24,24
