scenario,size,method,repeat,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,stability_penalty,hard_penalty
grid,10,greedy,0,0.8942080000000006,10,40,40,50,919.4174618345471,2857.9987987394416,10,10,6.0,9.0
grid,10,topology,0,3.9491670000000036,10,40,40,50,961.4627960939315,2857.9987987394416,10,10,6.0,9.0
grid,10,topology_local_search,0,13.671707999999997,10,40,40,53,1379.88711661785,2857.9987987394416,13,13,5.0,9.0
grid,50,greedy,0,10.498916999999997,50,200,200,250,4532.9238339830445,13754.431970229598,50,50,24.0,49.0
grid,50,topology,0,73.83791599999999,50,200,200,250,5140.464953497136,13754.431970229618,50,50,31.0,49.0
grid,50,topology_local_search,0,236.312833,50,200,200,255,5756.913728296962,13754.431970229618,55,55,29.0,49.0
grid,100,greedy,0,36.87062499999999,100,400,400,500,10964.299563168788,26550.684231445077,100,100,58.0,99.0
grid,100,topology,0,155.59991699999998,100,400,400,500,11481.729974285809,26550.684231445077,100,100,70.0,99.0
grid,100,topology_local_search,0,217.45091699999998,100,400,400,502,11660.428935912534,26550.684231445077,102,102,69.0,99.0
grid,200,greedy,0,140.42408299999997,200,800,800,1000,20536.022925327597,54229.669164320585,200,200,131.0,199.0
grid,200,topology,0,448.85054199999996,200,800,800,1000,20816.254263461902,54229.66916432057,200,200,152.0,199.0
grid,200,topology_local_search,0,594.496167,200,800,800,1002,20965.46950790173,54229.66916432057,202,202,151.0,199.0
grid,500,greedy,0,837.821333,500,2000,2000,2500,47204.940034757514,134643.8467059702,500,500,283.0,499.0
grid,500,topology,0,1795.1989579999995,500,2000,2000,2500,52289.40859141649,134643.8467059703,500,500,366.0,499.0
grid,500,topology_local_search,0,2312.1011249999997,500,2000,2000,2502,52416.282511664496,134643.8467059703,502,502,365.0,499.0
