method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,stability_penalty_std,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
path_distance_local_search,all_edges,1,0.0,0.0,0.0,3,277.58433366666617,204.52660774188936,1609.73791273258,2239.412166474084,1693.0712460659133,2357.263177605066,0.0,0.0,0.0,0.3333333333333333,10,12.666666666666666
path_distance_local_search,all_edges,1,0.0,0.0,1.0,3,141.89359733333248,100.92952535629439,1609.73791273258,2239.412166474084,1693.0712460659133,2357.263177605066,0.0,0.0,0.0,0.3333333333333333,10,12.666666666666666
path_distance_local_search,all_edges,1,0.75,0.0,0.0,3,144.049847333333,101.58979675663919,1609.73791273258,2239.412166474084,1693.0712460659133,2357.263177605066,0.0,16.0,8.48528137423857,0.3333333333333333,10,12.666666666666666
path_distance_local_search,all_edges,1,0.75,0.0,1.0,3,143.6365553333322,101.58972571406555,1609.73791273258,2239.412166474084,1693.0712460659133,2357.263177605066,0.0,2.6666666666666665,0.9428090415820634,0.3333333333333333,10,12.666666666666666
process_aware_beam,all_edges,1,0.0,0.0,0.0,3,1790.6271386666658,1917.3025314221277,1762.8733516531072,2407.589879055121,1846.2066849864407,2525.440956790945,0.0,0.0,0.0,0.3333333333333333,5.666666666666667,12.666666666666666
process_aware_beam,all_edges,1,0.0,0.0,1.0,3,377.7616666666658,201.28651027841332,1762.8733516531072,2407.589879055121,1846.2066849864407,2525.440956790945,0.0,0.0,0.0,0.3333333333333333,5.666666666666667,12.666666666666666
process_aware_beam,all_edges,1,0.75,0.0,0.0,3,677.8824583333327,706.8840306056852,3390.00196050165,4635.916017673851,3390.00196050165,4635.916017673851,0.0,1.3333333333333333,1.8856180831641267,0,4.666666666666667,12.666666666666666
process_aware_beam,all_edges,1,0.75,0.0,1.0,3,1360.716361333333,1414.5209125517977,2730.820852165526,3764.2078818654336,2814.1541854988595,3882.0586970971954,0.0,0.0,0.0,0.3333333333333333,10,12.666666666666666
topology,all_edges,1,0.0,0.0,0.0,3,11.258888999999458,12.276620435507484,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,0.0,0.0,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.0,0.0,1.0,3,4.424888666666978,2.5287368467665075,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,0.0,0.0,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.75,0.0,0.0,3,4.505347000000197,2.659638473329012,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,19.333333333333332,6.847546194724712,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.75,0.0,1.0,3,4.428374999999522,2.626312458362263,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,2.0,1.632993161855452,0.3333333333333333,5.333333333333333,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.0,0.0,0.0,3,208.22251433333355,116.85507269081404,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.0,0.0,1.0,3,167.47754133333456,107.7648891251696,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.75,0.0,0.0,3,392.243903,295.3267110026048,4617.20448943487,6391.891638560534,4617.20448943487,6391.891638560534,0.0,2.6666666666666665,1.247219128924647,0,19.333333333333332,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.75,0.0,1.0,3,239.51869466666614,75.92525580952004,4121.856685873685,5749.426516410759,4288.523352540351,5985.128769095398,0.0,0.0,0.0,0.6666666666666666,8.666666666666666,12.666666666666666
topology_process_aware,all_edges,1,0.0,0.0,0.0,3,268.2394443333328,318.1358519318201,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_process_aware,all_edges,1,0.0,0.0,1.0,3,51.30113866666619,35.82699191335828,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_process_aware,all_edges,1,0.75,0.0,0.0,3,149.8573613333334,184.0353278944737,4590.950302534314,6354.084455008697,4590.950302534314,6354.084455008697,0.0,2.6666666666666665,1.247219128924647,0,19.333333333333332,12.666666666666666
topology_process_aware,all_edges,1,0.75,0.0,1.0,3,185.69787500000066,203.17229661586765,4124.523352540351,5747.5426789658495,4291.190019207018,5983.244861502099,0.0,0.0,0.0,0.6666666666666666,13.666666666666666,12.666666666666666
