method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,stability_penalty_std,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
topology,all_edges,1,0.0,0.0,0.0,18,22.100527833333697,21.782650508224414,3141.4895231643654,2826.0275907324126,3322.045078719921,2966.964427336153,0.0,0.0,0.0,0.7222222222222222,16.27777777777778,15.38888888888889
topology,all_edges,1,0.0,0.0,1.0,18,6.291467500000283,4.124778315684788,3141.4895231643654,2826.0275907324126,3322.045078719921,2966.964427336153,0.0,0.0,0.0,0.7222222222222222,16.27777777777778,15.38888888888889
topology,all_edges,1,0.25,0.0,0.0,18,6.183337944444459,3.9814788069581826,3141.4895231643654,2826.0275907324126,3322.045078719921,2966.964427336153,0.0,5.555555555555555,3.1130946058048665,0.7222222222222222,16.27777777777778,15.38888888888889
topology,all_edges,1,0.25,0.0,1.0,18,6.198645777778807,4.0265041088891635,3141.4895231643654,2826.0275907324126,3322.045078719921,2966.964427336153,0.0,0.1111111111111111,0.31426968052735443,0.7222222222222222,16.27777777777778,15.38888888888889
topology,all_edges,1,0.5,0.0,0.0,18,6.2173426111112375,4.016723265164477,3141.4895231643654,2826.0275907324126,3322.045078719921,2966.964427336153,0.0,9.5,4.716990566028302,0.7222222222222222,16.27777777777778,15.38888888888889
topology,all_edges,1,0.5,0.0,1.0,18,6.201354222222233,4.014938722628532,3141.4895231643654,2826.0275907324126,3322.045078719921,2966.964427336153,0.0,0.7777777777777778,1.1331154474650633,0.7222222222222222,16.27777777777778,15.38888888888889
topology,all_edges,1,0.75,0.0,0.0,18,6.896854166667829,4.970607720596445,3141.4895231643654,2826.0275907324126,3322.045078719921,2966.964427336153,0.0,20.833333333333332,11.026483271348727,0.7222222222222222,16.27777777777778,15.38888888888889
topology,all_edges,1,0.75,0.0,1.0,18,6.26921522222221,4.034027924089112,3141.4895231643654,2826.0275907324126,3322.045078719921,2966.964427336153,0.0,4.444444444444445,3.2527291485120995,0.7222222222222222,16.27777777777778,15.38888888888889
topology_local_search_process_aware,all_edges,1,0.0,0.0,0.0,18,335.63618744444335,262.6316633543223,3140.608481280752,2950.5057385281,3210.0529257251965,3034.867365799264,0.0,0.0,0.0,0.2777777777777778,16.444444444444443,15.38888888888889
topology_local_search_process_aware,all_edges,1,0.0,0.0,1.0,18,225.22413433333185,143.94889899001365,3140.608481280752,2950.5057385281,3210.0529257251965,3034.867365799264,0.0,0.0,0.0,0.2777777777777778,16.444444444444443,15.38888888888889
topology_local_search_process_aware,all_edges,1,0.25,0.0,0.0,18,323.8404097777786,260.83740192660747,5123.643467341106,4709.570019157748,5276.421245118883,4841.409149174364,0.0,0.0,0.0,0.6111111111111112,17.22222222222222,15.38888888888889
topology_local_search_process_aware,all_edges,1,0.25,0.0,1.0,18,274.7851155000011,235.09851936097283,3300.2763231179188,3020.3987522823018,3397.498545340141,3103.762523449546,0.0,0.0,0.0,0.3888888888888889,15.166666666666666,15.38888888888889
topology_local_search_process_aware,all_edges,1,0.5,0.0,0.0,18,283.1973241111129,183.19157837549974,6750.055711315856,6007.429578941556,6875.055711315856,6118.157644974357,0.0,0.4444444444444444,0.7617394000445604,0.5,10.722222222222221,15.38888888888889
topology_local_search_process_aware,all_edges,1,0.5,0.0,1.0,18,322.53500238888876,240.74917752182932,4563.792604751015,4219.008383868184,4799.903715862125,4430.877269118131,0.0,0.0,0.0,0.9444444444444444,14.777777777777779,15.38888888888889
topology_local_search_process_aware,all_edges,1,0.75,0.0,0.0,18,460.75132883333237,385.8334120739274,7935.114627845002,7058.832342463899,7990.670183400558,7101.9504429380995,0.0,4.444444444444445,3.201080064641763,0.2222222222222222,18.88888888888889,15.38888888888889
topology_local_search_process_aware,all_edges,1,0.75,0.0,1.0,18,278.5714512222229,169.86782341960483,5751.2474973598155,5275.5648695455075,5904.025275137594,5426.677712842591,0.0,0.05555555555555555,0.2290614236454256,0.6111111111111112,14.777777777777779,15.38888888888889
topology_process_aware,all_edges,1,0.0,0.0,0.0,18,584.0350994444454,700.1304263791719,3139.7297760453325,2951.428596989612,3209.174220489777,3035.784679523235,0.0,0.0,0.0,0.2777777777777778,17.27777777777778,15.38888888888889
