method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,stability_penalty_std,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
path_distance_local_search,all_edges,1,0.0,0.0,0.0,3,272.8790693333332,202.62047549112154,1609.73791273258,2239.412166474084,1693.0712460659133,2357.263177605066,0.0,0.0,0.0,0.3333333333333333,10,12.666666666666666
path_distance_local_search,all_edges,1,0.0,0.0,1.0,3,138.01865299999972,98.52240923200675,1609.73791273258,2239.412166474084,1693.0712460659133,2357.263177605066,0.0,0.0,0.0,0.3333333333333333,10,12.666666666666666
path_distance_local_search,all_edges,1,0.75,0.0,0.0,3,140.77554133333322,100.19361625731571,1609.73791273258,2239.412166474084,1693.0712460659133,2357.263177605066,0.0,16.0,8.48528137423857,0.3333333333333333,10,12.666666666666666
path_distance_local_search,all_edges,1,0.75,0.0,1.0,3,140.7084723333333,99.51348698123599,1609.73791273258,2239.412166474084,1693.0712460659133,2357.263177605066,0.0,2.6666666666666665,0.9428090415820634,0.3333333333333333,10,12.666666666666666
topology,all_edges,1,0.0,0.0,0.0,3,11.110999666666363,12.105417178787665,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,0.0,0.0,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.0,0.0,1.0,3,4.257292000000061,2.4988965144325412,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,0.0,0.0,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.75,0.0,0.0,3,4.405305666666785,2.5911986967235254,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,19.333333333333332,6.847546194724712,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.75,0.0,1.0,3,4.3744443333332645,2.618196562471227,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,2.0,1.632993161855452,0.3333333333333333,5.333333333333333,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.0,0.0,0.0,3,203.3482083333334,114.9582779348398,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.0,0.0,1.0,3,163.40354166666646,106.16732125188857,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.75,0.0,0.0,3,387.6165413333333,292.7369281973248,4617.20448943487,6391.891638560534,4617.20448943487,6391.891638560534,0.0,2.6666666666666665,1.247219128924647,0,19.333333333333332,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.75,0.0,1.0,3,235.32681933333325,74.95030969150737,4121.856685873685,5749.426516410759,4288.523352540351,5985.128769095398,0.0,0.0,0.0,0.6666666666666666,8.666666666666666,12.666666666666666
topology_process_aware,all_edges,1,0.0,0.0,0.0,3,267.1971803333334,317.99850533705865,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_process_aware,all_edges,1,0.0,0.0,1.0,3,49.95777799999982,35.07621303986741,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_process_aware,all_edges,1,0.75,0.0,0.0,3,144.811125,177.2950905238186,4590.950302534314,6354.084455008697,4590.950302534314,6354.084455008697,0.0,2.6666666666666665,1.247219128924647,0,19.333333333333332,12.666666666666666
topology_process_aware,all_edges,1,0.75,0.0,1.0,3,180.93072199999995,197.6364178410676,4124.523352540351,5747.5426789658495,4291.190019207018,5983.244861502099,0.0,0.0,0.0,0.6666666666666666,13.666666666666666,12.666666666666666
