method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,stability_penalty_std,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
topology,all_edges,1,0.0,0.0,0.0,3,11.170014000000025,12.147357864805025,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,0.0,0.0,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.0,0.0,1.0,3,4.328055666666682,2.4729281535673873,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,0.0,0.0,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.25,0.0,0.0,3,4.2985413333332945,2.4947711418212526,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,5.666666666666667,1.699673171197595,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.25,0.0,1.0,3,4.325861000000282,2.5622183061233565,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,0.0,0.0,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.5,0.0,0.0,3,4.548805666666637,2.7636064073412174,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,9.666666666666666,2.8674417556808756,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.5,0.0,1.0,3,4.433791666666502,2.627581162188431,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.75,0.0,0.0,3,4.461764000000201,2.568320503752164,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,19.333333333333332,6.847546194724712,0.3333333333333333,5.333333333333333,12.666666666666666
topology,all_edges,1,0.75,0.0,1.0,3,4.4765419999999905,2.4838938947935323,1266.066201948096,1629.9283848240916,1349.3995352814293,1747.7771245485687,0.0,2.0,1.632993161855452,0.3333333333333333,5.333333333333333,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.0,0.0,0.0,3,204.1671806666672,115.29433001583959,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.0,0.0,1.0,3,164.70052766666666,106.29851464988256,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.25,0.0,0.0,3,171.23675000000026,40.17391460118031,3115.0816886008497,4331.288679278204,3281.7483552675167,4566.9909211034355,0.0,0.0,0.0,0.6666666666666666,14,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.25,0.0,1.0,3,177.21676400000015,123.73959618666522,1986.8085238269864,2761.8530953523264,2070.14185716032,2879.7041999105577,0.0,0.0,0.0,0.3333333333333333,11.666666666666666,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.5,0.0,0.0,3,196.6460416666668,48.19429461654997,4218.77900464189,5845.441859859292,4302.112337975224,5963.292920992026,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,11.333333333333334,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.5,0.0,1.0,3,205.98969433333394,115.98044594720496,1978.8555032961153,2740.7161746935876,2145.522169962782,2976.4176059487136,0.0,0.0,0.0,0.6666666666666666,7.333333333333333,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.75,0.0,0.0,3,386.22172233333293,287.96686848651046,4617.20448943487,6391.891638560534,4617.20448943487,6391.891638560534,0.0,2.6666666666666665,1.247219128924647,0,19.333333333333332,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.75,0.0,1.0,3,222.9832773333332,89.35675416019497,4121.856685873685,5749.426516410759,4288.523352540351,5985.128769095398,0.0,0.0,0.0,0.6666666666666666,8.666666666666666,12.666666666666666
topology_process_aware,all_edges,1,0.0,0.0,0.0,3,270.44418033333324,321.87967233793296,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_process_aware,all_edges,1,0.0,0.0,1.0,3,50.22562499999998,35.27726022008267,1583.2617442026997,2191.151929733273,1583.2617442026997,2191.151929733273,0.0,0.0,0.0,0,14.333333333333334,12.666666666666666
topology_process_aware,all_edges,1,0.25,0.0,0.0,3,209.7358330000004,253.64573152077898,2948.6150219341835,4095.869282276621,3115.28168860085,4331.571521967184,0.0,0.0,0.0,0.6666666666666666,14,12.666666666666666
topology_process_aware,all_edges,1,0.25,0.0,1.0,3,208.48963899999964,258.7593819162366,1986.8085238269864,2761.8530953523264,2070.14185716032,2879.7041999105577,0.0,0.0,0.0,0.3333333333333333,11.666666666666666,12.666666666666666
topology_process_aware,all_edges,1,0.5,0.0,0.0,3,86.8531806666665,86.59753630799246,4218.77900464189,5845.441859859292,4302.112337975224,5963.292920992026,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,11.333333333333334,12.666666666666666
topology_process_aware,all_edges,1,0.5,0.0,1.0,3,173.91281933333337,202.07683561372076,1978.8555032961153,2740.7161746935876,2145.522169962782,2976.4176059487136,0.0,0.0,0.0,0.6666666666666666,7.333333333333333,12.666666666666666
topology_process_aware,all_edges,1,0.75,0.0,0.0,3,145.50743033333325,178.0795323749061,4590.950302534314,6354.084455008697,4590.950302534314,6354.084455008697,0.0,2.6666666666666665,1.247219128924647,0,19.333333333333332,12.666666666666666
topology_process_aware,all_edges,1,0.75,0.0,1.0,3,185.33656933333293,205.421144139506,4124.523352540351,5747.5426789658495,4291.190019207018,5983.244861502099,0.0,0.0,0.0,0.6666666666666666,13.666666666666666,12.666666666666666
